Description	Resource	Path	Location	Type
The method getCreatedAt() is undefined for the type ClienteDTO	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 24	Java Problem
The method getCreatedAt() is undefined for the type ClienteDTO	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 58	Java Problem
The method getCreatedAt() is undefined for the type FollowUp	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 45	Java Problem
The method getCreatedAt() is undefined for the type FollowUpDTO	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 26	Java Problem
The method getCreatedAt() is undefined for the type FollowUpDTO	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 62	Java Problem
The method getCreatedAt() is undefined for the type Usuario	UsuarioMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 50	Java Problem
The method getCreatedAt() is undefined for the type UsuarioDTO	UsuarioMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 26	Java Problem
The method getCreatedAt() is undefined for the type UsuarioDTO	UsuarioMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 72	Java Problem
The method getDataAbertura() is undefined for the type Chamado	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 43	Java Problem
The method getDataAbertura() is undefined for the type ChamadoDTO	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 20	Java Problem
The method getDataAbertura() is undefined for the type ChamadoDTO	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 20	Java Problem
The method getDataAbertura() is undefined for the type ChamadoDTO	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 68	Java Problem
The method getDataAbertura() is undefined for the type ChamadoDTO	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 69	Java Problem
The method getDataEnvio() is undefined for the type FollowUp	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 48	Java Problem
The method getDataEnvio() is undefined for the type FollowUpDTO	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 29	Java Problem
The method getDataEnvio() is undefined for the type FollowUpDTO	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 65	Java Problem
The method getDataFechamento() is undefined for the type Chamado	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 44	Java Problem
The method getDataFechamento() is undefined for the type ChamadoDTO	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 21	Java Problem
The method getDataFechamento() is undefined for the type ChamadoDTO	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 71	Java Problem
The method getDataFechamento() is undefined for the type ChamadoDTO	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 72	Java Problem
The method getDescricao() is undefined for the type Chamado	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 41	Java Problem
The method getDescricao() is undefined for the type ChamadoDTO	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 18	Java Problem
The method getDescricao() is undefined for the type ChamadoDTO	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 62	Java Problem
The method getDescricao() is undefined for the type ChamadoDTO	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 63	Java Problem
The method getEmail() is undefined for the type Cliente	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 45	Java Problem
The method getEmail() is undefined for the type ClienteDTO	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 27	Java Problem
The method getEmail() is undefined for the type ClienteDTO	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 61	Java Problem
The method getEmail() is undefined for the type Usuario	UsuarioMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 54	Java Problem
The method getEmail() is undefined for the type Usuario	UsuarioServiceImpl.java	/Pos-24/src/main/java/com/pos24/service/impl	line 77	Java Problem
The method getEmail() is undefined for the type UsuarioDTO	UsuarioMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 30	Java Problem
The method getEmail() is undefined for the type UsuarioDTO	UsuarioMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 76	Java Problem
